economy,Country,year,gdp_per_capita,gdp_growth,fdi_inflows,unemployment,poverty_headcount,gini_index,life_expectancy,infant_mortality,hospital_beds,population,literacy_rate,school_enrolment_primary,school_enrolment_secondary,education_expenditure,electricity_access,renewable_energy,forest_area,clean_water_access,female_labour,female_literacy,women_parliament,maternal_mortality,gender_parity,internet_users,sub_region
ARM,Armenia,YR2005,1557.48458908655,13.8999999991133,5.96010687349519,10.584,6.1,36.0,73.0756097560976,21.3,4.77,3146400.0,,100.4091796875,92.0563430786133,2.71202993392944,99.8,6.5,11.6473480857042,96.8174664083954,53.338,,5.34351145038168,32.0,,5.25298,West Asia
ARM,Armenia,YR2006,2041.65267068997,13.1999999994661,7.30731450469503,10.497,4.5,29.7,72.8243902439025,20.1,4.77,3127100.0,,103.896697998047,95.2676467895508,2.71577000617981,99.1,7.7,11.6400421496312,97.0560181785414,53.243,,5.34351145038168,31.0,,5.63179,West Asia
ARM,Armenia,YR2007,2962.70234594569,13.7000000015467,7.25233231640274,10.394,3.7,31.2,72.8731707317073,19.1,4.41,3107400.0,,116.752250671387,96.8182601928711,3.01893997192383,99.2,7.0,11.6327362135581,97.2960930151798,53.273,,9.16030534351145,30.0,1.00601005554199,6.02125,West Asia
ARM,Armenia,YR2008,3777.66859313767,6.90000000042959,8.09234920917782,17.1,2.0,29.2,73.0731707317073,18.1,4.18,3087100.0,,117.701438903809,96.5329437255859,3.17272996902466,99.2,6.4,11.6254302774851,97.5377930144249,52.96,,8.3969465648855,29.0,0.995670020580292,6.21,West Asia
ARM,Armenia,YR2009,2820.5926553347,-14.1000000006998,8.78869421378729,19.295,3.1,28.0,73.0731707317073,17.2,4.1,3066000.0,,113.782722473145,102.957763671875,3.84079003334045,99.3,7.8,11.618124341412,97.7810340877485,54.373,,9.16030534351145,29.0,0.98989999294281,15.3,West Asia
ARM,Armenia,YR2010,3041.34450723339,2.2000000002151,5.7160373406455,19.523,2.9,30.0,73.1731707317073,16.4,4.15,3044800.0,,100.985866600546,107.732391357422,3.24900007247925,99.8,9.4,11.610818405339,98.0258624289459,54.4,,9.16030534351145,28.0,0.995220005512238,25.0,West Asia
ARM,Armenia,YR2011,3349.55309771906,4.69999999867412,6.44066805582743,18.884,3.1,29.4,73.8170731707317,15.6,4.19,3027900.0,99.7399978637695,98.334903726507,94.8774032592773,3.14385008811951,99.5,8.0,11.6035124692659,98.272291670612,54.222,99.6900024414062,8.3969465648855,27.0,1.00771999359131,32.0,West Asia
ARM,Armenia,YR2012,3511.56399687426,7.20000000096486,4.67672759828402,17.511,2.5,29.6,74.119512195122,14.8,4.19,3024100.0,,97.0881274408756,,2.77248001098633,99.5,6.6,11.5962065331928,98.5203266865955,53.928,,10.6870229007634,27.0,,37.5,West Asia
ARM,Armenia,YR2013,3680.16692158886,3.3,3.11193185351156,16.576,2.9,30.6,74.6219512195122,14.1,4.2,3022000.0,,95.8742927261572,86.8721923828125,2.65018010139465,99.4,6.8,11.5889005971198,98.7705613555546,53.878,,10.6870229007634,26.0,1.02907001972198,41.9,West Asia
ARM,Armenia,YR2014,3852.11800610384,3.60000000058993,3.50211415457343,17.498,3.4,31.5,74.8731707317073,13.4,4.28,3013800.0,,94.4177603466209,86.5204010009766,2.24724006652832,99.7,7.1,11.5815946610467,99.0173502975581,53.835,,10.6870229007634,26.0,1.04033994674683,54.6228,West Asia
